symbol	ensg
DPM1	ENSG00000000419
SCYL3	ENSG00000000457
C1orf112	ENSG00000000460
FGR	ENSG00000000938
CFH	ENSG00000000971
FUCA2	ENSG00000001036
GCLC	ENSG00000001084
NFYA	ENSG00000001167
STPG1	ENSG00000001460
NIPAL3	ENSG00000001461
LAS1L	ENSG00000001497
ENPP4	ENSG00000001561
SEMA3F	ENSG00000001617
ANKIB1	ENSG00000001629
CYP51A1	ENSG00000001630
KRIT1	ENSG00000001631
RAD52	ENSG00000002016
BAD	ENSG00000002330
LAP3	ENSG00000002549
CD99	ENSG00000002586
AOC1	ENSG00000002726
MAD1L1	ENSG00000002822
LASP1	ENSG00000002834
SNX11	ENSG00000002919
TMEM176A	ENSG00000002933
M6PR	ENSG00000003056
KLHL13	ENSG00000003096
ICA1	ENSG00000003147
ALS2	ENSG00000003393
CASP10	ENSG00000003400
CFLAR	ENSG00000003402
TFPI	ENSG00000003436
NDUFAF7	ENSG00000003509
RBM5	ENSG00000003756
MTMR7	ENSG00000003987
SLC7A2	ENSG00000003989
ARF5	ENSG00000004059
SARM1	ENSG00000004139
POLDIP2	ENSG00000004142
PLXND1	ENSG00000004399
AK2	ENSG00000004455
CD38	ENSG00000004468
FKBP4	ENSG00000004478
KDM1A	ENSG00000004487
RBM6	ENSG00000004534
CAMKK1	ENSG00000004660
RECQL	ENSG00000004700
VPS50	ENSG00000004766
ARHGAP33	ENSG00000004777
NDUFAB1	ENSG00000004779
PDK4	ENSG00000004799
SLC22A16	ENSG00000004809
ZMYND10	ENSG00000004838
SLC25A13	ENSG00000004864
ST7	ENSG00000004866
CDC27	ENSG00000004897
SLC4A1	ENSG00000004939
HCCS	ENSG00000004961
DVL2	ENSG00000004975
UPF1	ENSG00000005007
SKAP2	ENSG00000005020
SLC25A5	ENSG00000005022
MCUB	ENSG00000005059
HOXA11	ENSG00000005073
POLR2J	ENSG00000005075
DHX33	ENSG00000005100
THSD7A	ENSG00000005108
LIG3	ENSG00000005156
RPAP3	ENSG00000005175
ACSM3	ENSG00000005187
REXO5	ENSG00000005189
CIAPIN1	ENSG00000005194
SPPL2B	ENSG00000005206
FAM214B	ENSG00000005238
PRKAR2B	ENSG00000005249
MSL3	ENSG00000005302
CREBBP	ENSG00000005339
TSPOAP1	ENSG00000005379
MPO	ENSG00000005381
GCFC2	ENSG00000005436
WDR54	ENSG00000005448
CROT	ENSG00000005469
ABCB4	ENSG00000005471
KMT2E	ENSG00000005483
RHBDD2	ENSG00000005486
IBTK	ENSG00000005700
ZNF195	ENSG00000005801
MYCBP2	ENSG00000005810
FBXL3	ENSG00000005812
ITGAL	ENSG00000005844
PDK2	ENSG00000005882
ITGA3	ENSG00000005884
ZFX	ENSG00000005889
LAMP2	ENSG00000005893
ITGA2B	ENSG00000005961
GDE1	ENSG00000006007
C19orf60	ENSG00000006015
CRLF1	ENSG00000006016
OSBPL7	ENSG00000006025
MAP3K14	ENSG00000006062
TMEM132A	ENSG00000006118
AP2B1	ENSG00000006125
ZNF263	ENSG00000006194
SPATA20	ENSG00000006282
TNFRSF12A	ENSG00000006327
MAP3K9	ENSG00000006432
RALA	ENSG00000006451
BAIAP2L1	ENSG00000006453
KDM7A	ENSG00000006459
AGK	ENSG00000006530
ALDH3B1	ENSG00000006534
TTC22	ENSG00000006555
PHTF2	ENSG00000006576
FARP2	ENSG00000006607
GGCT	ENSG00000006625
DBF4	ENSG00000006634
TBXA2R	ENSG00000006638
IFRD1	ENSG00000006652
COX10	ENSG00000006695
PAF1	ENSG00000006712
VPS41	ENSG00000006715
ARHGAP44	ENSG00000006740
ELAC2	ENSG00000006744
ARSD	ENSG00000006756
PNPLA4	ENSG00000006757
ADIPOR2	ENSG00000006831
CDKL3	ENSG00000006837
PRSS21	ENSG00000007038
MARK4	ENSG00000007047
PROM1	ENSG00000007062
CCDC124	ENSG00000007080
CEACAM21	ENSG00000007129
PAFAH1B1	ENSG00000007168
KIAA0100	ENSG00000007202
GAS7	ENSG00000007237
TRAPPC6A	ENSG00000007255
MATK	ENSG00000007264
CD79B	ENSG00000007312
ST7L	ENSG00000007341
TKTL1	ENSG00000007350
PAX6	ENSG00000007372
RPUSD1	ENSG00000007376
RHBDF1	ENSG00000007384
LUC7L	ENSG00000007392
CACNA2D2	ENSG00000007402
BAIAP3	ENSG00000007516
TSR3	ENSG00000007520
PIGQ	ENSG00000007541
CRAMP1	ENSG00000007545
DNAJC11	ENSG00000007923
MYLIP	ENSG00000007944
E2F2	ENSG00000007968
PSMB1	ENSG00000008018
JARID2	ENSG00000008083
CDKL5	ENSG00000008086
CDK11A	ENSG00000008128
NADK	ENSG00000008130
DLEC1	ENSG00000008226
CYTH3	ENSG00000008256
ADAM22	ENSG00000008277
SYPL1	ENSG00000008282
CYB561	ENSG00000008283
SPAG9	ENSG00000008294
CELSR3	ENSG00000008300
AASS	ENSG00000008311
PLEKHG6	ENSG00000008323
SS18L2	ENSG00000008324
MPND	ENSG00000008382
MGST1	ENSG00000008394
CRY1	ENSG00000008405
PGLYRP1	ENSG00000008438
NFIX	ENSG00000008441
ST3GAL1	ENSG00000008513
MMP25	ENSG00000008516
IL32	ENSG00000008517
PKD1	ENSG00000008710
MED24	ENSG00000008838
RHOBTB2	ENSG00000008853
HEATR5B	ENSG00000008869
SEC62	ENSG00000008952
RPS20	ENSG00000008988
CSDE1	ENSG00000009307
UBE3C	ENSG00000009335
REV3L	ENSG00000009413
TENM1	ENSG00000009694
MASP2	ENSG00000009724
FAM76A	ENSG00000009780
TRAF3IP3	ENSG00000009790
POMT2	ENSG00000009830
VTA1	ENSG00000009844
BAZ1B	ENSG00000009954
RANBP9	ENSG00000010017
SPRTN	ENSG00000010072
METTL13	ENSG00000010165
DYRK4	ENSG00000010219
ZNF207	ENSG00000010244
UQCRC1	ENSG00000010256
STARD3NL	ENSG00000010270
CD9	ENSG00000010278
NCAPD2	ENSG00000010292
